十,じゅう・とお,10
いる,(a person) is in/stays at
〜まい,(counter for flat objects)
遅く,おそく,(do something) late
〜で,by (means of transportation)/with (a tool)
休み,やすみ,to be absent/to rest
ちょうと,a little
ちょっと違います。,ちょっとちがいます,a little different
電車がまいります。,A train is arriving
ごぜん,A.M.
ぐらい,about (roughly)
〜はついて,about
後,あと,after (an event)
先,せん・さき,ahead
空気,くうき,air
飛行機,ひこうき,airplane
みんな,all
みんなで,all of the people together
一人で,ひとりで,alone
もう,already
いつも,always
昔,むかし,ancient times
それから,and then
そして,and then
答,こたえ,answer
アパート,apartment
りんご,apple
美術館,びじゅつかん,art museum
できるだけ,as much as possible
後ろ,うしろ,back
悪い,わるい,bad
かばん,bag
荷物,にもつ,baggage
ぎんこう,bank
バーベキュー,barbeque
床屋,とこや,barber's
野球,やきゅう,baseball
お風呂,おふろ,bath
美容院,びよういん,beauty parlor
から,because
〜ので,because
ビール,beer
始まる,はじまる,begins
お弁当,おべんとう,bento
一番,いちばん,best
間,あいだ,between
じてんしゃ,bicycle
大,だい・たい・おお,big
生,う・せい・しょう,birth
誕生日,たんじょうび,birthday
黒い,くろい,black
黒板,こくばん,blackboard
青い,あおい,blue-colored
青,あお・せい,blue
乗車券,じょうしゃけん,boarding ticket
船,ふね,boat
ほにゃ,book store
本,ほん・もと,book/origin
肩言い方,かたいいかた,bookish expression
つもらない,boring
どちらでもいいです。,both are fine
〜行き,いき,bound for...
男の子,おとこのこ,boy
彼,かれ,boyfriend
パン,bread
あさごはん,breakfast
明,あか・めい,bright
頭がいい,あたまがいい,bright/smart/clever
兄弟,きょうだい,brothers and sisters
バス,bus
バスてい,bus stop
用事,ようじ,business to take care of
忙しい,いそがしい,busy
でも,but
。。。が,but
是非,ぜひ,by all means
ところで,by the way
きっさてん,cafe
食堂,しょくどう,cafeteria
ケーキ,cake
カメラ,camera
キャンプ,camp
使えません,つかえません,can't use it
京,きょう,capital
車,しゃ・くるま,car
猫,ねこ,cat
いす,chair
安い,やすい,cheap
乾杯,かんぱい,cheers!
子供,こども,children
子,し・こ,child
橋,はし,chopsticks
市,し・いち,city
クラス,class
授業,じゅぎょう,class
きれい,な,clean/beautiful
服,ふく,clothes
曇り,くもり,cloudy weather
サークル,club activity
下手,へた,clumsy/bad at
コーヒー,coffee
寒い,さむい,cold
風邪,かぜ,a cold
冷たい,つめたい,cold (things/people)
大学生,だいがくせい,college student
だいがく,college/university
くだけた言い方,くだけたいいかた,colloquial expression
色,いろ・しき・しょく,color
出身,しゅっしん,coming from
定期券,ていきけん,commuter's pass
会社,かいしゃ,company
社,しゃ・じゃ,company
コンせート,concert
便利,な,convenient
コンビニ,convenient store
涼しい,すずしい,cool (weather)
まる,correct
せき,cough
〜人,にん,counter for people
国,こく・ごく・こっ・くに,country
回数券,かいすうけん,coupons
牛,うし・ぎゅう,cow
クレジットカード,credit card
かわいい,cute
デート,date (romantic)
日,に・にち・び,day
休み,やすみ,day off/holiday
〜度,ど,degrees (temperature)
おいしい,delicious
先発,せんぱつ,departing first
二発,じぱつ,departing second
デパート,department store
つこえ,desk
方言,ほうげん,dialect
じしょ,dictionary
難しい,むずかしい,difficult
ばんごはん,dinner
嫌いな,きらいな,disgusted/to dislike
医者,いしゃ,doctor
この電車は秋葉原に止まりますか？,この電車はあきはばらにとまりますか？,Does this train stop at Akihabara?
犬,いぬ,dog
元気がない,don't look well
夢,ゆめ,dream
飲み物,のみもの,drink
ドライブ,drive
早い,はやい,early
早,はや・そう,early
早く,はやく,early/fast
東,とう・ひがし,east
優しい,やさしい,easy (problems)/kind (people)
簡単,な,easy/simple
八,はち,eight
八つ,やっつ,eight
電気,でんき,electricity
電,でん,electricity
マール,email
終わる,おわる,ends
えいご,English
入口,entrance
作文,さくぶん,essay
毎,まい,every
毎日,まいにち,every day
毎晩,まいばん,every night
毎週,まいしゅう,every week
試験,しけん,exam
例,れい,example
すみません,excuse me/sorry
練習,れんしゅう,exercise
出口,でぐち,exit
たかい,expensive/high
急行,きゅうこう,express
すごく,extremely
目,め,eye
顔,かお,face
秋,あき,fall
家族,かぞく,family
有名,ゆうめい,famous
有名人,ゆうめいじん,famous person
速い,はやい,fast
お父さん,おとうさん,father
父,ふ・ちち・とう,father
好,こう・す,favorite/to like
お祭り,おまつり,festival
火,か・ひ・び,fire
一番前,いちばんまえ,first car
さかな,fish
つり,fishing
五,ご・いつ,five
五つ,いつつ,five
便,びん,flight
花,はな,flower
好きな,すきな,fond of/to like
たべもの,food
例えば,たとえば,for example
初めて,はじめて,for the first time
二三日,にさんにち,for two to three days
〜か月,かげつ,for...months
〜週間,しゅうかん,for...weeks
外国,がいこく,foreign country
四,し・よん,four
四つ,よっつ,four
いちねんせい,freshman
ともだち,friend
怖い,こわい,frightening
〜から,from
前,まえ,front
楽しい,たのしい,fun
将来,しょうらい,future
ゲーム,game
改札,かいさつ,gate
自由席,じゆうせき,general admission seat
お大事に,おだいじに,get well soon
女の子,おんあのこ,girl
彼女,かのじょ,girlfriend
眼鏡,めがね,glasses
手袋,てぶくろ,gloves
神,かみ・じん・こう,god
いい,good
こんにちは,Good afternoon
いい子,いいこ,good child
こんばんは,Good evening
おはよお,Good morning
おはよおございます,Good morning (polite)
おやすみ,なさい,Good night
さようなら,Good-bye
かっこいい,good-looking
成績,せいせき,grade (on a test)
大学院生,だいがくいんせい,graduate student
